"Date ","Open","High","Low","Close","Prev. Close","Change","% Change"
"04-Sep-2017","       11.6750","       13.9550","       11.4850","       13.1650","       11.6750","        1.4900","  12.76"
"05-Sep-2017","       13.1650","       13.4425","       12.4750","       12.8875","       13.1650","       -0.2800","  -2.11"
"06-Sep-2017","       12.8875","       13.4950","       12.0350","       13.1200","       12.8875","        0.2300","   1.80"
"07-Sep-2017","       13.1200","       13.1275","       11.1750","       13.0075","       13.1200","       -0.1100","  -0.86"
"08-Sep-2017","       13.0075","       13.0975","       11.7725","       12.9625","       13.0075","       -0.0500","  -0.35"
"11-Sep-2017","       12.9625","       12.9625","       11.5475","       12.3600","       12.9625","       -0.6000","  -4.65"
"12-Sep-2017","       12.3600","       12.3600","       11.5200","       11.7575","       12.3600","       -0.6000","  -4.87"
"13-Sep-2017","       11.7575","       11.8650","       10.6800","       11.7550","       11.7575","        0.0000","  -0.02"
"14-Sep-2017","       11.7550","       11.8775","       10.3600","       11.4700","       11.7550","       -0.2900","  -2.42"
"15-Sep-2017","       11.4700","       12.0175","       10.0175","       11.6775","       11.4700","        0.2100","   1.81"
"18-Sep-2017","       11.6775","       11.6775","       10.8350","       11.4425","       11.6775","       -0.2400","  -2.01"
"19-Sep-2017","       11.4425","       11.6425","       10.3975","       11.4650","       11.4425","        0.0200","   0.20"
"20-Sep-2017","       11.4650","       11.8775","       10.1150","       11.6325","       11.4650","        0.1700","   1.46"
"21-Sep-2017","       11.6325","       12.1825","        9.2575","       11.6325","       11.6325","        0.0000","   0.00"
"22-Sep-2017","       11.6325","       12.9925","       11.0050","       12.8100","       11.6325","        1.1800","  10.12"
"25-Sep-2017","       12.8100","       13.8400","       11.5075","       13.3400","       12.8100","        0.5300","   4.14"
"26-Sep-2017","       13.3400","       13.6250","       12.6325","       12.9275","       13.3400","       -0.4100","  -3.09"
"27-Sep-2017","       12.9275","       14.1650","       11.7700","       13.8625","       12.9275","        0.9400","   7.23"
"28-Sep-2017","       13.8625","       13.9725","       12.8225","       13.1725","       13.8625","       -0.6900","  -4.98"
"29-Sep-2017","       13.1725","       13.1725","       11.9100","       12.4850","       13.1725","       -0.6900","  -5.22"
"03-Oct-2017","       12.4850","       12.8725","       11.4400","       12.4600","       12.4850","       -0.0300","  -0.20"
"04-Oct-2017","       12.4600","       12.5775","       11.5750","       11.8000","       12.4600","       -0.6600","  -5.30"
"05-Oct-2017","       11.8000","       11.8950","       10.5850","       11.7100","       11.8000","       -0.0900","  -0.76"
"06-Oct-2017","       11.7100","       11.7100","       10.7450","       11.1175","       11.7100","       -0.5900","  -5.06"
"09-Oct-2017","       11.1175","       11.5650","       10.4050","       11.3925","       11.1175","        0.2800","   2.47"
"10-Oct-2017","       11.3925","       11.4500","       10.7500","       11.1125","       11.3925","       -0.2800","  -2.46"
"11-Oct-2017","       11.1125","       12.1825","       10.1875","       11.7300","       11.1125","        0.6200","   5.56"
